# time totalContactTime
1.1000 126.0000
2.1000 252.0000
3.1000 378.0000
4.1000 504.0000
5.2000 642.6000
6.3000 781.2000
7.4000 919.8000
8.5000 1058.4000
9.6000 1197.0000
10.7000 1335.6000
11.8000 1474.2000
12.9000 1612.8000
14.0000 1751.4000
15.1000 1890.0000
16.2000 2028.6000
17.2000 2154.6000
18.2000 2280.6000
19.2000 2406.6000
20.2000 2532.6000
21.2000 2658.6000
22.2000 2784.6000
23.2000 2910.6000
24.2000 3036.6000
25.2000 3162.6000
26.2000 3288.6000
27.2000 3414.6000
28.2000 3540.6000
29.2000 3666.6000
30.2000 3792.6000
31.2000 3918.6000
32.2000 4044.6000
33.2000 4170.6000
34.2000 4296.6000
35.2000 4422.6000
36.2000 4548.6000
37.2000 4674.6000
38.2000 4800.6000
39.2000 4926.6000
40.2000 5052.6000
41.2000 5178.6000
42.2000 5304.6000
43.2000 5430.6000
44.2000 5556.6000
45.2000 5682.6000
46.2000 5808.6000
47.2000 5934.6000
48.2000 6060.6000
49.2000 6186.6000
50.2000 6312.6000
51.2000 6438.6000
52.2000 6564.6000
53.2000 6690.6000
54.2000 6816.6000
55.2000 6942.6000
56.2000 7068.6000
57.2000 7194.6000
58.2000 7320.6000
59.2000 7446.6000
60.2000 7572.6000
61.2000 7698.6000
62.2000 7824.6000
63.2000 7950.6000
64.2000 8076.6000
65.3000 8215.2000
66.4000 8353.8000
67.5000 8492.4000
68.6000 8631.0000
69.7000 8769.6000
70.8000 8908.2000
71.9000 9046.8000
73.0000 9185.4000
74.1000 9324.0000
75.2000 9462.6000
76.3000 9601.2000
77.4000 9739.8000
78.5000 9878.4000
79.6000 10017.0000
80.7000 10155.6000
81.8000 10294.2000
82.9000 10432.8000
84.0000 10571.4000
85.1000 10710.0000
86.2000 10848.6000
87.3000 10987.2000
88.4000 11125.8000
89.5000 11264.4000
90.6000 11403.0000
91.7000 11541.6000
92.8000 11680.2000
93.9000 11818.8000
95.0000 11957.4000
96.1000 12096.0000
97.2000 12234.6000
98.3000 12373.2000
99.4000 12511.8000
100.5000 12650.4000
101.6000 12789.0000
102.7000 12927.6000
103.8000 13066.2000
104.9000 13204.8000
106.0000 13343.4000
107.1000 13482.0000
108.2000 13620.6000
109.3000 13759.2000
110.4000 13897.8000
111.5000 14036.4000
112.6000 14175.0000
113.7000 14313.6000
114.8000 14452.2000
115.9000 14590.8000
117.0000 14729.4000
118.1000 14868.0000
119.2000 15006.6000
120.3000 15145.2000
121.4000 15283.8000
122.5000 15422.4000
123.6000 15561.0000
124.7000 15699.6000
125.8000 15838.2000
126.9000 15976.8000
128.0000 16115.4000
129.1000 16254.0000
130.2000 16392.6000
131.3000 16531.2000
132.4000 16669.8000
133.5000 16808.4000
134.6000 16947.0000
135.7000 17085.6000
136.8000 17224.2000
137.9000 17362.8000
139.0000 17501.4000
140.1000 17640.0000
141.2000 17778.6000
142.3000 17917.2000
143.4000 18055.8000
144.5000 18194.4000
145.6000 18333.0000
146.7000 18471.6000
147.8000 18610.2000
148.9000 18748.8000
150.0000 18887.4000
151.1000 19026.0000
152.2000 19164.6000
153.3000 19303.2000
154.4000 19441.8000
155.5000 19580.4000
156.6000 19719.0000
157.7000 19857.6000
158.8000 19996.2000
159.9000 20134.8000
161.0000 20273.4000
162.1000 20412.0000
163.2000 20550.6000
164.3000 20689.2000
165.4000 20827.8000
166.5000 20966.4000
167.6000 21105.0000
168.7000 21243.6000
169.8000 21382.2000
170.9000 21520.8000
172.0000 21659.4000
173.1000 21798.0000
174.2000 21936.6000
175.3000 22075.2000
176.4000 22213.8000
177.5000 22352.4000
178.6000 22491.0000
179.7000 22629.6000
180.8000 22768.2000
181.9000 22906.8000
183.0000 23045.4000
184.1000 23184.0000
185.2000 23322.6000
186.3000 23461.2000
187.4000 23599.8000
188.5000 23738.4000
189.6000 23877.0000
190.7000 24015.6000
191.8000 24154.2000
192.9000 24292.8000
194.0000 24431.4000
195.1000 24570.0000
196.2000 24708.6000
197.3000 24847.2000
198.4000 24985.8000
199.5000 25124.4000
200.6000 25263.0000
201.7000 25401.6000
202.8000 25540.2000
203.9000 25678.8000
205.0000 25817.4000
206.1000 25956.0000
207.2000 26094.6000
208.3000 26233.2000
209.4000 26371.8000
210.5000 26510.4000
211.6000 26649.0000
212.7000 26787.6000
213.8000 26926.2000
214.9000 27064.8000
216.0000 27203.4000
217.1000 27342.0000
218.2000 27480.6000
219.3000 27619.2000
220.4000 27757.8000
221.5000 27896.4000
222.6000 28035.0000
223.7000 28173.6000
224.8000 28312.2000
225.9000 28450.8000
227.0000 28589.4000
228.1000 28728.0000
229.2000 28866.6000
230.3000 29005.2000
231.4000 29143.8000
232.5000 29282.4000
233.6000 29421.0000
234.7000 29559.6000
235.8000 29698.2000
236.9000 29836.8000
238.0000 29975.4000
239.1000 30114.0000
240.2000 30252.6000
241.3000 30391.2000
242.4000 30529.8000
243.5000 30668.4000
244.6000 30807.0000
245.7000 30945.6000
246.8000 31084.2000
247.9000 31222.8000
249.0000 31361.4000
250.1000 31500.0000
251.2000 31638.6000
252.3000 31777.2000
253.4000 31915.8000
254.5000 32054.4000
255.6000 32193.0000
256.6000 32319.0000
257.6000 32445.0000
258.6000 32571.0000
259.6000 32697.0000
260.6000 32823.0000
261.6000 32949.0000
262.6000 33075.0000
263.6000 33201.0000
264.6000 33327.0000
265.6000 33453.0000
266.6000 33579.0000
267.6000 33705.0000
268.6000 33831.0000
269.6000 33957.0000
270.6000 34083.0000
271.6000 34209.0000
272.6000 34335.0000
273.6000 34461.0000
274.6000 34587.0000
275.6000 34713.0000
276.6000 34839.0000
277.6000 34965.0000
278.6000 35091.0000
279.6000 35217.0000
280.6000 35343.0000
281.6000 35469.0000
282.6000 35595.0000
283.6000 35721.0000
284.6000 35847.0000
285.6000 35973.0000
286.6000 36099.0000
287.6000 36225.0000
288.6000 36351.0000
289.6000 36477.0000
290.6000 36603.0000
291.6000 36729.0000
292.6000 36855.0000
293.6000 36981.0000
294.6000 37107.0000
295.6000 37233.0000
296.6000 37359.0000
297.6000 37485.0000
298.6000 37611.0000
299.6000 37737.0000
300.6000 37863.0000
301.6000 37989.0000
302.6000 38115.0000
303.6000 38241.0000
304.6000 38367.0000
305.6000 38493.0000
306.6000 38619.0000
307.6000 38745.0000
308.6000 38871.0000
309.6000 38997.0000
310.6000 39123.0000
311.6000 39249.0000
312.6000 39375.0000
313.6000 39501.0000
314.6000 39627.0000
315.6000 39753.0000
316.6000 39879.0000
